location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
EC,2020-07-30,77055,1183,1700,121,0,333247,5126
EC,2020-07-31,77938,883,1708,8,0,337985,4738
EC,2020-08-01,78782,844,1744,36,0,342833,4848
EC,2020-08-02,79410,628,1769,25,0,346807,3974
EC,2020-08-03,79674,264,1789,20,0,349310,2503
EC,2020-08-04,79844,170,1832,43,0,351538,2228
EC,2020-08-05,80400,556,1967,135,0,355534,3996
EC,2020-08-06,81014,614,2033,66,0,359716,4182
EC,2020-08-07,81615,601,2090,57,0,363582,3866
EC,2020-08-08,82074,459,2129,39,0,367763,4181
EC,2020-08-09,82401,327,2209,80,0,371225,3462
EC,2020-08-10,82587,186,2266,57,0,373156,1931
EC,2020-08-11,82715,128,2286,20,0,374467,1311
EC,2020-08-12,82779,64,2332,46,0,376346,1879
EC,2020-08-13,83002,223,2400,68,0,378637,2291
EC,2020-08-14,83372,370,2442,42,0,382704,4067
EC,2020-08-15,83671,299,2447,5,0,385778,3074
EC,2020-08-16,84006,335,2517,70,0,388360,2582
EC,2020-08-17,84092,86,2567,50,0,390077,1717
EC,2020-08-18,84144,52,2633,66,0,391753,1676
EC,2020-08-19,84362,218,2670,37,0,394645,2892
EC,2020-08-20,84586,224,2696,26,0,397456,2811
EC,2020-08-21,84787,201,2753,57,0,400222,2766
EC,2020-08-22,85039,252,2778,25,0,403712,3490
EC,2020-08-23,85203,164,2789,11,0,405809,2097
EC,2020-08-24,85240,37,2800,11,0,407024,1215
EC,2020-08-25,85311,71,2816,16,0,408711,1687
EC,2020-08-26,85472,161,2828,12,0,411011,2300
EC,2020-08-27,85625,153,2853,25,0,413182,2171
EC,2020-08-28,85701,76,2863,10,0,414818,1636
EC,2020-08-29,85899,198,2869,6,0,417177,2359
EC,2020-08-30,86060,161,2876,7,0,419678,2501
EC,2020-08-31,86163,103,2896,20,0,421831,2153
EC,2020-09-01,86217,54,2903,7,0,423166,1335
EC,2020-09-02,86322,105,2932,29,0,425600,2434
EC,2020-09-03,86489,167,2956,24,0,427927,2327
EC,2020-09-04,86635,146,2968,12,0,430051,2124
EC,2020-09-05,86755,120,2979,11,0,432121,2070
EC,2020-09-06,86849,94,2986,7,0,433990,1869
EC,2020-09-07,86868,19,2998,12,0,434990,1000
EC,2020-09-08,86926,58,3007,9,0,436385,1395
EC,2020-09-09,87040,114,3012,5,0,438867,2482
EC,2020-09-10,87128,88,3019,7,0,441214,2347
EC,2020-09-11,87222,94,3035,16,0,443579,2365
EC,2020-09-12,87323,101,3043,8,0,445705,2126
EC,2020-09-13,87415,92,3047,4,0,447497,1792
